Distance,Diameter,Radius,,text
13.9012,1.56896,0.78448,,13.9012 0.78448 0
13.9422,1.56079,0.780395,,13.9422 0.780395 0
13.9653,1.55571,0.777855,,13.9653 0.777855 0
14.0141,1.54596,0.77298,,14.0141 0.77298 0
14.0677,1.53464,0.76732,,14.0677 0.76732 0
14.1019,1.52946,0.76473,,14.1019 0.76473 0
14.124,1.52746,0.76373,,14.124 0.76373 0
14.1393,1.52469,0.762345,,14.1393 0.762345 0
14.1567,1.51988,0.75994,,14.1567 0.75994 0
14.2081,1.50516,0.75258,,14.2081 0.75258 0
14.2969,1.48715,0.743575,,14.2969 0.743575 0
14.3436,1.48191,0.740955,,14.3436 0.740955 0
14.3586,1.48018,0.74009,,14.3586 0.74009 0
14.3873,1.47679,0.738395,,14.3873 0.738395 0
14.436,1.47064,0.73532,,14.436 0.73532 0
14.4516,1.46855,0.734275,,14.4516 0.734275 0
14.4633,1.46656,0.73328,,14.4633 0.73328 0
14.4751,1.46446,0.73223,,14.4751 0.73223 0
14.563,1.45629,0.728145,,14.563 0.728145 0
14.6294,1.45776,0.72888,,14.6294 0.72888 0
14.6332,1.45793,0.728965,,14.6332 0.728965 0
14.6557,1.45822,0.72911,,14.6557 0.72911 0
14.6661,1.4582,0.7291,,14.6661 0.7291 0
14.6877,1.45796,0.72898,,14.6877 0.72898 0
14.7265,1.45765,0.728825,,14.7265 0.728825 0
14.7318,1.45764,0.72882,,14.7318 0.72882 0
14.8809,1.46767,0.733835,,14.8809 0.733835 0
14.9044,1.47291,0.736455,,14.9044 0.736455 0
14.943,1.48012,0.74006,,14.943 0.74006 0
14.9733,1.48552,0.74276,,14.9733 0.74276 0
15.0253,1.49191,0.745955,,15.0253 0.745955 0
15.0259,1.49199,0.745995,,15.0259 0.745995 0
15.0536,1.49601,0.748005,,15.0536 0.748005 0
15.1086,1.50628,0.75314,,15.1086 0.75314 0
15.1599,1.51775,0.758875,,15.1599 0.758875 0
15.1599,1.51776,0.75888,,15.1599 0.75888 0
15.1727,1.52102,0.76051,,15.1727 0.76051 0
15.2289,1.5358,0.7679,,15.2289 0.7679 0
15.2589,1.54487,0.772435,,15.2589 0.772435 0
15.2712,1.54869,0.774345,,15.2712 0.774345 0
15.3015,1.55657,0.778285,,15.3015 0.778285 0
15.3334,1.56439,0.782195,,15.3334 0.782195 0
15.3372,1.56518,0.78259,,15.3372 0.78259 0
15.3551,1.57015,0.785075,,15.3551 0.785075 0
15.4194,1.58713,0.793565,,15.4194 0.793565 0
15.4484,1.59709,0.798545,,15.4484 0.798545 0
15.4684,1.60365,0.801825,,15.4684 0.801825 0
15.4982,1.61238,0.80619,,15.4982 0.80619 0
15.5213,1.61887,0.809435,,15.5213 0.809435 0
15.5537,1.62878,0.81439,,15.5537 0.81439 0
15.6046,1.6456,0.8228,,15.6046 0.8228 0
15.635,1.65606,0.82803,,15.635 0.82803 0
15.6532,1.66241,0.831205,,15.6532 0.831205 0
15.657,1.66363,0.831815,,15.657 0.831815 0
15.6819,1.67112,0.83556,,15.6819 0.83556 0
15.7037,1.67717,0.838585,,15.7037 0.838585 0
15.7143,1.68016,0.84008,,15.7143 0.84008 0
15.7333,1.685,0.8425,,15.7333 0.8425 0
15.7745,1.69679,0.848395,,15.7745 0.848395 0
15.7839,1.69966,0.84983,,15.7839 0.84983 0
15.785,1.69998,0.84999,,15.785 0.84999 0
15.7991,1.70358,0.85179,,15.7991 0.85179 0
15.8235,1.70955,0.854775,,15.8235 0.854775 0
15.8305,1.71117,0.855585,,15.8305 0.855585 0
15.8561,1.71629,0.858145,,15.8561 0.858145 0
15.8948,1.72452,0.86226,,15.8948 0.86226 0
15.9491,1.73813,0.869065,,15.9491 0.869065 0
15.9534,1.73928,0.86964,,15.9534 0.86964 0
15.9605,1.74095,0.870475,,15.9605 0.870475 0
15.9715,1.74352,0.87176,,15.9715 0.87176 0
15.9922,1.74685,0.873425,,15.9922 0.873425 0
15.9923,1.74687,0.873435,,15.9923 0.873435 0
15.9964,1.74761,0.873805,,15.9964 0.873805 0
15.9967,1.74766,0.87383,,15.9967 0.87383 0
16.0009,1.74828,0.87414,,16.0009 0.87414 0
16.0484,1.75484,0.87742,,16.0484 0.87742 0
16.0835,1.76019,0.880095,,16.0835 0.880095 0
16.0895,1.76103,0.880515,,16.0895 0.880515 0
16.1177,1.76421,0.882105,,16.1177 0.882105 0
16.1525,1.76677,0.883385,,16.1525 0.883385 0
16.1529,1.7668,0.8834,,16.1529 0.8834 0
16.2191,1.77212,0.88606,,16.2191 0.88606 0
16.2257,1.77303,0.886515,,16.2257 0.886515 0
16.2336,1.77395,0.886975,,16.2336 0.886975 0
16.2589,1.77605,0.888025,,16.2589 0.888025 0
16.2817,1.77573,0.887865,,16.2817 0.887865 0
16.2998,1.77572,0.88786,,16.2998 0.88786 0
16.3872,1.78002,0.89001,,16.3872 0.89001 0
16.3872,1.78003,0.890015,,16.3872 0.890015 0
16.3886,1.78016,0.89008,,16.3886 0.89008 0
16.4198,1.78192,0.89096,,16.4198 0.89096 0
16.4241,1.78203,0.891015,,16.4241 0.891015 0
16.4479,1.78273,0.891365,,16.4479 0.891365 0
16.4893,1.78476,0.89238,,16.4893 0.89238 0
16.504,1.78585,0.892925,,16.504 0.892925 0
16.5446,1.79017,0.895085,,16.5446 0.895085 0
16.5459,1.79029,0.895145,,16.5459 0.895145 0
16.5633,1.79195,0.895975,,16.5633 0.895975 0
16.5902,1.79426,0.89713,,16.5902 0.89713 0
16.62,1.79496,0.89748,,16.62 0.89748 0
16.6204,1.79498,0.89749,,16.6204 0.89749 0
16.6427,1.79606,0.89803,,16.6427 0.89803 0
16.6494,1.7964,0.8982,,16.6494 0.8982 0
16.6807,1.79717,0.898585,,16.6807 0.898585 0
16.7125,1.79787,0.898935,,16.7125 0.898935 0
16.7171,1.79791,0.898955,,16.7171 0.898955 0
16.7594,1.79895,0.899475,,16.7594 0.899475 0
16.8352,1.80546,0.90273,,16.8352 0.90273 0
16.8352,1.80546,0.90273,,16.8352 0.90273 0
16.8654,1.8075,0.90375,,16.8654 0.90375 0
16.8883,1.80883,0.904415,,16.8883 0.904415 0
16.9308,1.81165,0.905825,,16.9308 0.905825 0
16.9336,1.81183,0.905915,,16.9336 0.905915 0
16.9764,1.81163,0.905815,,16.9764 0.905815 0
16.9859,1.81172,0.90586,,16.9859 0.90586 0
16.9891,1.81164,0.90582,,16.9891 0.90582 0
17.0062,1.81022,0.90511,,17.0062 0.90511 0
17.0452,1.8068,0.9034,,17.0452 0.9034 0
17.0463,1.80673,0.903365,,17.0463 0.903365 0
17.0983,1.80068,0.90034,,17.0983 0.90034 0
17.1471,1.79746,0.89873,,17.1471 0.89873 0
17.2516,1.80161,0.900805,,17.2516 0.900805 0
17.3054,1.80276,0.90138,,17.3054 0.90138 0
17.3337,1.80233,0.901165,,17.3337 0.901165 0
17.3745,1.79954,0.89977,,17.3745 0.89977 0
17.3845,1.79871,0.899355,,17.3845 0.899355 0
17.3848,1.79867,0.899335,,17.3848 0.899335 0
17.4465,1.79468,0.89734,,17.4465 0.89734 0
17.4842,1.79435,0.897175,,17.4842 0.897175 0
17.5186,1.79334,0.89667,,17.5186 0.89667 0
17.5576,1.79363,0.896815,,17.5576 0.896815 0
17.5889,1.79437,0.897185,,17.5889 0.897185 0
17.5914,1.79446,0.89723,,17.5914 0.89723 0
17.6064,1.79444,0.89722,,17.6064 0.89722 0
17.6594,1.79369,0.896845,,17.6594 0.896845 0
17.6644,1.7932,0.8966,,17.6644 0.8966 0
17.7181,1.79056,0.89528,,17.7181 0.89528 0
17.7581,1.78897,0.894485,,17.7581 0.894485 0
17.8183,1.79015,0.895075,,17.8183 0.895075 0
17.8479,1.78886,0.89443,,17.8479 0.89443 0
17.8496,1.78875,0.894375,,17.8496 0.894375 0
17.8733,1.78928,0.89464,,17.8733 0.89464 0
