Distance,Diameter,Radius,,text
3.78798,2.14813,1.074065,,3.78798 1.074065 0
3.88099,2.14682,1.07341,,3.88099 1.07341 0
3.9242,2.14696,1.07348,,3.9242 1.07348 0
3.9309,2.14698,1.07349,,3.9309 1.07349 0
3.94192,2.14688,1.07344,,3.94192 1.07344 0
4.02374,2.14848,1.07424,,4.02374 1.07424 0
4.07472,2.15364,1.07682,,4.07472 1.07682 0
4.07724,2.15383,1.076915,,4.07724 1.076915 0
4.09539,2.15501,1.077505,,4.09539 1.077505 0
4.1499,2.1605,1.08025,,4.1499 1.08025 0
4.15078,2.16057,1.080285,,4.15078 1.080285 0
4.18343,2.16309,1.081545,,4.18343 1.081545 0
4.2201,2.16732,1.08366,,4.2201 1.08366 0
4.23791,2.16951,1.084755,,4.23791 1.084755 0
4.24672,2.17021,1.085105,,4.24672 1.085105 0
4.25726,2.17099,1.085495,,4.25726 1.085495 0
4.2967,2.17342,1.08671,,4.2967 1.08671 0
4.34318,2.17778,1.08889,,4.34318 1.08889 0
4.37232,2.18004,1.09002,,4.37232 1.09002 0
4.38994,2.18158,1.09079,,4.38994 1.09079 0
4.39829,2.18205,1.091025,,4.39829 1.091025 0
4.41964,2.18383,1.091915,,4.41964 1.091915 0
4.45003,2.18557,1.092785,,4.45003 1.092785 0
4.45159,2.18568,1.09284,,4.45159 1.09284 0
4.48768,2.18788,1.09394,,4.48768 1.09394 0
4.52345,2.18994,1.09497,,4.52345 1.09497 0
4.52939,2.19026,1.09513,,4.52939 1.09513 0
4.53545,2.19044,1.09522,,4.53545 1.09522 0
4.58817,2.19171,1.095855,,4.58817 1.095855 0
4.61585,2.1922,1.0961,,4.61585 1.0961 0
4.66801,2.19342,1.09671,,4.66801 1.09671 0
4.70789,2.19544,1.09772,,4.70789 1.09772 0
4.72789,2.19634,1.09817,,4.72789 1.09817 0
4.73273,2.19639,1.098195,,4.73273 1.098195 0
4.77825,2.19654,1.09827,,4.77825 1.09827 0
4.7811,2.19657,1.098285,,4.7811 1.098285 0
4.78536,2.19621,1.098105,,4.78536 1.098105 0
4.84891,2.19066,1.09533,,4.84891 1.09533 0
4.86261,2.18973,1.094865,,4.86261 1.094865 0
4.94962,2.18371,1.091855,,4.94962 1.091855 0
4.98125,2.18323,1.091615,,4.98125 1.091615 0
4.99712,2.18308,1.09154,,4.99712 1.09154 0
5.0174,2.18168,1.09084,,5.0174 1.09084 0
5.06875,2.17546,1.08773,,5.06875 1.08773 0
5.07961,2.17326,1.08663,,5.07961 1.08663 0
5.08552,2.17198,1.08599,,5.08552 1.08599 0
5.13562,2.16115,1.080575,,5.13562 1.080575 0
5.26307,2.14308,1.07154,,5.26307 1.07154 0
5.26518,2.14289,1.071445,,5.26518 1.071445 0
5.30526,2.13875,1.069375,,5.30526 1.069375 0
5.32118,2.13704,1.06852,,5.32118 1.06852 0
