Distance,Diameter,Radius,,Text File Input
4.4378,1.86184,0.93092,,4.4378 0.93092 0
4.49525,1.85793,0.928965,,4.49525 0.928965 0
4.50333,1.85772,0.92886,,4.50333 0.92886 0
4.61225,1.85891,0.929455,,4.61225 0.929455 0
4.62581,1.85941,0.929705,,4.62581 0.929705 0
4.68795,1.86114,0.93057,,4.68795 0.93057 0
4.70755,1.86093,0.930465,,4.70755 0.930465 0
4.76757,1.86055,0.930275,,4.76757 0.930275 0
4.79278,1.8609,0.93045,,4.79278 0.93045 0
4.82802,1.86098,0.93049,,4.82802 0.93049 0
4.84477,1.86076,0.93038,,4.84477 0.93038 0
4.88733,1.85933,0.929665,,4.88733 0.929665 0
4.9284,1.85774,0.92887,,4.9284 0.92887 0
4.95182,1.85675,0.928375,,4.95182 0.928375 0
4.95978,1.85625,0.928125,,4.95978 0.928125 0
5.00475,1.85236,0.92618,,5.00475 0.92618 0
5.01552,1.85118,0.92559,,5.01552 0.92559 0
5.05562,1.84637,0.923185,,5.05562 0.923185 0
5.09373,1.84194,0.92097,,5.09373 0.92097 0
5.11022,1.83986,0.91993,,5.11022 0.91993 0
5.16913,1.83254,0.91627,,5.16913 0.91627 0
5.18104,1.83086,0.91543,,5.18104 0.91543 0
5.19786,1.82808,0.91404,,5.19786 0.91404 0
5.22763,1.82274,0.91137,,5.22763 0.91137 0
5.24375,1.81987,0.909935,,5.24375 0.909935 0
5.25044,1.81838,0.90919,,5.25044 0.90919 0
5.25074,1.81809,0.909045,,5.25074 0.909045 0
5.29142,1.80676,0.90338,,5.29142 0.90338 0
5.30329,1.80307,0.901535,,5.30329 0.901535 0
5.35784,1.78657,0.893285,,5.35784 0.893285 0
5.38096,1.78,0.89,,5.38096 0.89 0
5.40839,1.7718,0.8859,,5.40839 0.8859 0
5.42121,1.76771,0.883855,,5.42121 0.883855 0
5.47882,1.74993,0.874965,,5.47882 0.874965 0
5.48457,1.74805,0.874025,,5.48457 0.874025 0
5.53692,1.73182,0.86591,,5.53692 0.86591 0
5.54275,1.72995,0.864975,,5.54275 0.864975 0
5.55597,1.72501,0.862505,,5.55597 0.862505 0
5.57124,1.71897,0.859485,,5.57124 0.859485 0
5.63033,1.69627,0.848135,,5.63033 0.848135 0
5.66781,1.68223,0.841115,,5.66781 0.841115 0
5.6892,1.673,0.8365,,5.6892 0.8365 0
5.691,1.67226,0.83613,,5.691 0.83613 0
5.74753,1.64974,0.82487,,5.74753 0.82487 0
5.77186,1.63913,0.819565,,5.77186 0.819565 0
5.79546,1.62872,0.81436,,5.79546 0.81436 0
5.83921,1.60957,0.804785,,5.83921 0.804785 0
5.8723,1.59598,0.79799,,5.8723 0.79799 0
5.89967,1.58548,0.79274,,5.89967 0.79274 0
5.93621,1.57154,0.78577,,5.93621 0.78577 0
5.95199,1.56545,0.782725,,5.95199 0.782725 0
5.98086,1.55437,0.777185,,5.98086 0.777185 0
