"Distance","Diameter","RAS_R","RAS_A","RAS_S"
6.54016,2.05974,4.11477,-16.235,-17.8886
6.69146,2.03078,3.97599,-16.2949,-17.8957
6.71019,2.02682,3.95811,-16.3003,-17.8972
6.87951,1.98915,3.80159,-16.3642,-17.9066
6.93981,1.98182,3.74466,-16.384,-17.9055
7.02521,1.9672,3.6643,-16.4128,-17.9086
7.0372,1.96479,3.65319,-16.4172,-17.908
7.17115,1.94584,3.52817,-16.4653,-17.9077
7.18049,1.94508,3.51939,-16.4685,-17.908
7.23867,1.93592,3.46568,-16.4908,-17.9064
7.31641,1.92723,3.39385,-16.5205,-17.9081
7.39512,1.92509,3.32007,-16.5477,-17.9118
7.41073,1.9248,3.30544,-16.5529,-17.9133
7.55723,1.9124,3.17099,-16.6111,-17.9122
7.5728,1.91224,3.15662,-16.617,-17.9128
7.60582,1.91109,3.12577,-16.6286,-17.9151
7.7225,1.90304,3.01671,-16.6699,-17.9115
7.75414,1.90134,2.98724,-16.6813,-17.9127
7.75647,1.90106,2.98521,-16.6825,-17.9129
7.75649,1.90106,2.9852,-16.6825,-17.9129
7.90206,1.87679,2.85042,-16.7369,-17.9207
7.93181,1.87204,2.82279,-16.748,-17.9205
8.02215,1.85089,2.73889,-16.7804,-17.9291
8.12841,1.81513,2.64066,-16.8197,-17.9388
8.28128,1.76049,2.49514,-16.8618,-17.9592
8.39428,1.72361,2.3861,-16.8824,-17.9806
8.41089,1.71857,2.37088,-16.8884,-17.9834
8.53049,1.68009,2.25889,-16.9264,-18.0014
8.6904,1.642,2.10602,-16.9613,-18.0327
8.7056,1.63878,2.09297,-16.9688,-18.0349
8.81914,1.61807,1.98868,-17.011,-18.0503
8.81978,1.61793,1.98812,-17.0113,-18.0504
9.00279,1.6004,1.81613,-17.0627,-18.0859
9.01702,1.60042,1.80246,-17.0663,-18.0877
9.02786,1.60003,1.79226,-17.0692,-18.0899
9.13641,1.59662,1.69077,-17.1031,-18.1081
9.26747,1.59676,1.57094,-17.1503,-18.1324
9.29574,1.60042,1.54443,-17.1589,-18.1372
9.30766,1.60117,1.53392,-17.1642,-18.139
9.33575,1.60175,1.50878,-17.1765,-18.1415
9.39855,1.60386,1.45392,-17.2062,-18.1488
9.45276,1.60939,1.40433,-17.2251,-18.1598
9.57019,1.62335,1.29687,-17.2666,-18.1827
9.57347,1.62388,1.29384,-17.2678,-18.1831
9.60987,1.62906,1.25939,-17.2773,-18.1899
9.66903,1.63688,1.20457,-17.2941,-18.2045
9.67321,1.63737,1.20072,-17.2953,-18.2057
9.69427,1.6393,1.18153,-17.3028,-18.21
9.70245,1.64009,1.17385,-17.3051,-18.2117
9.75886,1.64141,1.12308,-17.326,-18.2245
9.84271,1.64773,1.04684,-17.3578,-18.2389
9.87249,1.6505,1.02045,-17.3695,-18.2462
9.90047,1.65348,0.994815,-17.3778,-18.2538
9.90418,1.65394,0.991347,-17.3788,-18.2546
9.95963,1.66059,0.93963,-17.3951,-18.2663
