Distance,Diameter
13.7664,2.73448
13.7771,2.73915
13.7885,2.74374
13.8035,2.74991
13.8052,2.75063
13.8757,2.77986
13.8832,2.783
13.9205,2.79909
13.9408,2.80737
13.9975,2.83009
14.0132,2.83725
14.0277,2.84346
14.0277,2.84347
14.0285,2.84377
14.0367,2.84672
14.0367,2.84672
14.0428,2.84884
14.0438,2.84914
14.0598,2.85396
14.0612,2.85435
14.0912,2.86283
14.0917,2.863
14.1135,2.86995
14.1136,2.86997
14.1315,2.87504
14.1319,2.87515
14.1892,2.88868
14.1973,2.89054
14.233,2.89774
14.2614,2.90032
14.3223,2.90645
14.3675,2.91171
14.4551,2.91859
14.4553,2.91858
14.4683,2.91823
14.5091,2.91286
14.5266,2.90958
14.5887,2.8913
14.6744,2.86865
14.7587,2.8443
14.7775,2.83917
14.8657,2.81053
14.958,2.77999
15.0458,2.75641
15.046,2.75636
15.0727,2.74959
15.1331,2.73487
15.1758,2.72466
15.1758,2.72466
15.1772,2.72426
15.375,2.6956
15.3752,2.6956
15.4196,2.69584
15.4833,2.69681
15.5151,2.69744
15.6387,2.70084
15.6699,2.70336
15.7357,2.71027
15.7416,2.71072
15.8423,2.71995
15.8425,2.71996
15.8676,2.72265
15.9299,2.73104
15.9308,2.73119
16.0009,2.74373
16.002,2.74399
16.1326,2.77661
16.1326,2.77661
16.1328,2.77666
16.2102,2.79666
16.2332,2.80139
16.2335,2.80142
16.3005,2.80777
16.3007,2.80778
16.3452,2.81253
16.3987,2.81697
16.4725,2.82263
16.5043,2.82571
16.5512,2.82628
16.5587,2.82618
16.5632,2.82563
16.58,2.82356
16.645,2.81545
16.8327,2.80006
16.8628,2.80069
16.9357,2.80233
16.939,2.80235
16.9698,2.80174
17.0115,2.80036
17.0832,2.79789
17.1673,2.79955
17.1942,2.80146
17.2423,2.80457
17.2678,2.80585
17.2753,2.80675
17.3744,2.81896
17.4392,2.83126
17.4408,2.83148
17.4725,2.83518
17.4813,2.83612
17.4935,2.83772
17.5463,2.84438
17.62,2.8555
17.6721,2.8635
17.7511,2.87747
17.8109,2.88931
17.8119,2.88945
17.8739,2.89823
17.9082,2.90338
17.9293,2.90659
17.9348,2.90733
18.0338,2.92141
18.0815,2.92957
18.0817,2.9296
18.0988,2.9317
18.1218,2.93364
18.1395,2.93467
18.1517,2.93538
18.1817,2.93635
18.1901,2.93669
18.203,2.93729
18.251,2.93942
18.4668,2.94043
18.4669,2.94044
18.4879,2.94177
18.5457,2.94515
18.569,2.9467
18.5713,2.94682
18.6125,2.94739
18.6592,2.94236
18.7488,2.93349
18.7713,2.93077
18.8757,2.91986
18.9594,2.91165
19.0171,2.90716
19.0872,2.90225
19.1043,2.90023
19.1916,2.88552
19.2453,2.87621
19.2706,2.87195
19.3241,2.86139
19.368,2.84911
19.3928,2.84237
19.4512,2.82576
19.514,2.80653
19.59,2.78532
19.6007,2.78257
19.6013,2.78241
19.6578,2.76602
19.675,2.76084
19.6845,2.75801
19.7319,2.74416
19.7796,2.73055
19.8577,2.70745
19.98,2.67335
20.0113,2.66564
20.0841,2.64656
20.1122,2.6395
20.1178,2.63796
20.1504,2.62946
20.1908,2.61767
20.2834,2.5922
20.3322,2.57909
20.3563,2.57354
20.3857,2.56654
20.421,2.55907
20.4453,2.55429
20.4578,2.55189
20.5128,2.54083
20.5619,2.53265
20.5943,2.52682
20.6642,2.51851
20.7442,2.51237
20.745,2.51234
20.7463,2.51228
20.7812,2.5098
20.8071,2.50785
20.8693,2.50394
20.8965,2.50302
20.9687,2.5037
20.9776,2.50371
21.0177,2.50422
21.079,2.50732
21.1088,2.51005
21.1227,2.51161
21.1524,2.51568
21.2275,2.52873
21.3144,2.54918
21.3235,2.55121
21.3359,2.55366
21.3445,2.55519
21.3679,2.5597
21.4879,2.58916
21.501,2.59205
21.5741,2.61008
21.5741,2.61009
21.5796,2.61144
21.5881,2.61324
