Distance,Diameter
10.848,1.13882
10.8866,1.13033
10.9505,1.12353
10.9526,1.12343
10.9976,1.12044
11.0066,1.12019
11.0066,1.12019
11.0354,1.11883
11.0786,1.11435
11.1228,1.11345
11.1511,1.11455
11.1722,1.11557
11.1897,1.11589
11.1931,1.11575
11.2384,1.11363
11.2511,1.11403
11.2828,1.11498
11.2855,1.11507
11.3401,1.11827
11.35,1.11916
11.3528,1.11932
11.3825,1.12055
11.4072,1.12095
11.4167,1.12108
11.4249,1.12115
11.4687,1.12221
11.5121,1.12463
11.5656,1.13122
11.5743,1.13226
11.6114,1.13608
11.6584,1.13998
11.6613,1.14012
11.7049,1.14407
11.7088,1.14431
11.7146,1.14441
11.7172,1.14451
11.7649,1.14852
11.8036,1.1533
11.8403,1.15703
11.8415,1.15718
11.8648,1.15995
11.8914,1.16301
11.8927,1.16311
11.9424,1.16624
11.9507,1.16685
12.0091,1.17097
12.052,1.17541
12.0609,1.17648
12.1063,1.18239
12.1118,1.18324
12.1118,1.18325
12.1606,1.18948
12.1674,1.19044
12.2024,1.19454
12.2029,1.1946
12.2372,1.19771
12.2701,1.20225
12.3196,1.21134
12.3221,1.21179
12.3657,1.21934
12.3761,1.22108
12.4096,1.22585
12.4669,1.23754
12.4736,1.23897
12.534,1.25283
12.5429,1.25565
12.5778,1.26694
12.6018,1.27558
12.609,1.27802
12.6104,1.27849
12.6243,1.2834
12.6419,1.28952
12.6583,1.29461
12.6967,1.30737
12.7562,1.32733
12.7984,1.3445
12.8102,1.34978
12.8108,1.35005
12.8211,1.35416
12.8471,1.36501
12.8637,1.37178
12.8783,1.37864
12.9315,1.40308
12.9316,1.40314
12.9371,1.40574
12.9667,1.42047
12.997,1.43564
13.0174,1.44608
13.0641,1.47125
13.0749,1.47757
13.1,1.49223
13.1121,1.49915
13.1198,1.50373
13.1606,1.52776
13.1897,1.54569
13.2028,1.5538
13.2696,1.59715
13.301,1.61931
13.3057,1.62262
13.3133,1.62825
13.3266,1.63815
13.3322,1.64211
13.3709,1.6699
13.3926,1.68542
13.4247,1.70876
13.4284,1.71141
13.4404,1.72006
13.4594,1.73349
13.524,1.78089
13.5245,1.7812
13.5454,1.79647
13.557,1.80498
13.5708,1.81505
13.6063,1.83817
13.6086,1.8396
13.6101,1.84053
13.6217,1.84672
13.6234,1.84757
13.6525,1.86135
13.6549,1.86252
13.6551,1.8626
13.6913,1.88031
13.6913,1.88032
13.6983,1.88334
13.6985,1.88341
13.7164,1.89134
13.7164,1.89134
13.719,1.89242
13.7205,1.89296
13.7305,1.8967
13.7379,1.89908
13.7528,1.90199
13.7672,1.90364
13.7849,1.90494
13.819,1.90687
13.8199,1.9069
13.8302,1.90713
13.8425,1.90684
13.8631,1.90493
13.9247,1.89926
14.011,1.89598
14.0252,1.89594
14.0639,1.89483
14.0764,1.89404
14.1124,1.89
14.1349,1.88751
14.1538,1.88519
14.1957,1.88171
14.2505,1.87798
14.31,1.87667
14.3122,1.87663
14.3182,1.87651
14.3714,1.87541
14.3719,1.8754
14.3901,1.87495
14.3962,1.87449
14.4362,1.87094
14.4511,1.8697
14.4595,1.86901
14.5325,1.86525
14.5662,1.86541
14.5719,1.8656
14.5894,1.86605
14.6068,1.86606
14.6107,1.86601
14.6297,1.8655
14.6806,1.86402
14.6896,1.86379
14.7056,1.86322
14.747,1.86135
14.7702,1.86075
14.7808,1.86037
14.8735,1.86152
14.8999,1.86315
14.906,1.86349
14.935,1.86518
14.9604,1.86679
15.0015,1.86939
15.0308,1.87098
15.0791,1.87413
15.1039,1.87552
15.1831,1.88286
15.1895,1.88358
15.2539,1.8907
15.2541,1.89072
15.2637,1.89184
15.3241,1.8986
15.3277,1.89897
15.3943,1.90509
15.4051,1.90618
15.4337,1.90869
15.4456,1.90981
15.5006,1.91503
15.5036,1.91528
15.5696,1.92028
15.5697,1.92029
15.5785,1.92102
15.6333,1.92452
15.6553,1.92561
15.6976,1.92527
15.7354,1.9252
15.768,1.92249
15.7951,1.9199
15.8384,1.91555
15.9018,1.91241
15.9236,1.91051
15.9605,1.90718
15.9607,1.90715
16.0139,1.89791
16.0184,1.89697
16.0804,1.88549
16.0998,1.88062
16.1194,1.87576
16.1646,1.86428
16.1793,1.86065
16.1833,1.85964
16.206,1.85364
16.2586,1.84102
16.2664,1.8392
16.3852,1.81688
16.412,1.81371
16.4202,1.81242
16.4777,1.8042
16.4922,1.80251
16.4922,1.80251
16.4937,1.80231
16.5443,1.79557
16.5492,1.79486
16.5492,1.79485
16.5524,1.79433
16.609,1.78638
16.6761,1.77751
16.6761,1.7775
16.6837,1.77663
16.7336,1.77228
16.7829,1.77002
16.8395,1.76725
16.8729,1.76529
16.873,1.76529
16.8747,1.76511
16.9262,1.75868
16.9262,1.75868
16.9281,1.75847
16.9882,1.75174
17.0541,1.74908
17.1109,1.74774
17.111,1.74774
17.1135,1.7477
17.1633,1.74082
17.2259,1.73529
17.2769,1.73442
17.2929,1.73414
17.3086,1.73336
17.3205,1.7329
17.3641,1.73118
17.3985,1.73029
17.4178,1.72882
17.4331,1.72796
17.4691,1.72594
17.538,1.72345
17.5588,1.72274
17.5767,1.72162
17.6095,1.72001
17.6337,1.71837
17.6353,1.71808
17.6983,1.70917
17.7577,1.7053
17.8392,1.69637
17.896,1.69211
17.9065,1.69124
17.9106,1.69084
17.9234,1.68919
17.9245,1.689
18.0382,1.6744
18.0578,1.67371
18.0722,1.67303
18.086,1.67249
18.0964,1.67176
18.1006,1.67133
18.1465,1.66527
18.156,1.66416
18.1827,1.6613
18.2127,1.65883
18.2163,1.6585
18.256,1.65541
18.2598,1.65507
18.269,1.654
18.302,1.64975
18.3469,1.64403
18.3655,1.64238
18.396,1.64019
18.4215,1.63847
18.4653,1.63693
18.4699,1.63673
18.5222,1.63549
18.5339,1.63507
18.5346,1.63501
18.5791,1.6304
18.595,1.62919
18.6011,1.62876
18.6758,1.62529
18.6872,1.62531
18.7367,1.62425
18.7389,1.62423
18.8078,1.62491
18.8082,1.62494
18.8289,1.62609
18.8501,1.62663
18.8918,1.62807
18.9203,1.62764
18.9339,1.62737
18.9735,1.62782
19.0004,1.62794
19.0303,1.62952
19.0798,1.63395
19.0947,1.63412
19.131,1.63552
19.1335,1.63571
19.1609,1.63794
19.1746,1.63923
19.1824,1.63969
19.2295,1.64331
19.2322,1.64359
19.2524,1.64538
19.2524,1.64539
19.2575,1.64573
19.2936,1.649
19.3021,1.64986
19.3269,1.65206
19.3298,1.65227
19.3382,1.65293
19.3663,1.65489
19.4072,1.65726
19.4333,1.6594
19.4434,1.6603
19.4744,1.66356
19.4962,1.66593
19.5248,1.66906
19.5617,1.67264
19.5742,1.67363
19.6132,1.67712
19.6645,1.68183
19.7002,1.68632
19.7107,1.68763
19.7391,1.69152
19.7394,1.69157
19.7655,1.69593
19.7655,1.69594
19.7752,1.69737
19.7972,1.70053
19.7973,1.70056
19.8004,1.701
19.8386,1.70618
19.8528,1.70771
19.9,1.71429
19.957,1.72454
19.957,1.72454
19.9623,1.72561
20.0082,1.7346
20.0083,1.73463
20.0152,1.73594
20.0198,1.73653
20.0673,1.74315
20.0674,1.74316
20.0746,1.74414
20.1316,1.75114
20.1915,1.76249
20.1916,1.76251
20.2004,1.76441
20.2437,1.77356
20.2507,1.7751
20.2578,1.77658
20.2796,1.78072
20.2798,1.78075
20.2943,1.78335
20.3362,1.79051
20.3803,1.79945
20.4283,1.81024
20.4719,1.82156
20.4728,1.82182
20.4903,1.82637
20.5005,1.82887
20.5101,1.83078
20.5679,1.84339
20.5775,1.84558
20.5999,1.85015
20.6187,1.85412
20.6251,1.85542
20.6671,1.86346
20.6751,1.86503
20.7104,1.87043
20.7428,1.876
20.7603,1.8795
20.8167,1.89237
20.8688,1.90143
20.8717,1.90161
20.8766,1.9018
20.9269,1.90347
20.9279,1.9035
21.0164,1.90991
21.0546,1.9153
21.0639,1.91665
21.0874,1.91915
21.0976,1.92015
21.1058,1.92096
21.1151,1.92189
21.1154,1.92192
21.153,1.92548
21.1664,1.92655
21.179,1.92751
21.1857,1.92803
21.1863,1.92806
21.2248,1.92959
21.2399,1.93019
21.2574,1.93095
21.2644,1.931
21.3339,1.93428
21.3583,1.93631
21.3757,1.9368
21.3883,1.93685
21.4127,1.93671
21.4167,1.93666
21.4286,1.93598
21.4692,1.93297
21.4775,1.93232
21.6163,1.92509
21.6435,1.92568
21.679,1.92759
21.7445,1.92601
21.7502,1.92579
21.8342,1.92046
21.8449,1.92005
21.9443,1.92073
21.9515,1.92085
22.0209,1.92173
22.0558,1.92258
22.095,1.92187
22.127,1.9206
22.127,1.9206
22.131,1.92031
22.1886,1.91762
22.1887,1.91762
22.2135,1.91814
22.2395,1.91911
22.2564,1.91973
22.2596,1.9198
22.2896,1.92034
22.2937,1.92039
22.3363,1.91922
22.3363,1.91922
22.3372,1.91914
22.3969,1.91521
22.4227,1.91405
22.4766,1.91284
22.4767,1.91283
22.482,1.91265
22.4986,1.91115
22.4986,1.91115
22.5006,1.91089
22.5737,1.90406
22.6145,1.90224
22.6259,1.90059
22.6703,1.89432
22.6796,1.89287
22.8038,1.88268
22.8716,1.88223
22.8762,1.88191
