Distance,Diameter,Radius,FFR,Text File Input
4.47033,2.55525,1.277625,,4.47033 1.277625 0
4.53329,2.55221,1.276105,,4.53329 1.276105 0
4.60234,2.55128,1.27564,,4.60234 1.27564 0
4.60704,2.55115,1.275575,,4.60704 1.275575 0
4.61261,2.55079,1.275395,,4.61261 1.275395 0
4.69221,2.5461,1.27305,,4.69221 1.27305 0
4.72123,2.54293,1.271465,,4.72123 1.271465 0
4.78449,2.5385,1.26925,,4.78449 1.26925 0
4.79899,2.53709,1.268545,,4.79899 1.268545 0
4.87605,2.52823,1.264115,,4.87605 1.264115 0
4.91826,2.52392,1.26196,,4.91826 1.26196 0
4.92884,2.52263,1.261315,,4.92884 1.261315 0
4.95264,2.51946,1.25973,,4.95264 1.25973 0
4.96554,2.51794,1.25897,,4.96554 1.25897 0
5.002,2.51317,1.256585,,5.002 1.256585 0
5.03181,2.50921,1.254605,,5.03181 1.254605 0
5.07156,2.50362,1.25181,,5.07156 1.25181 0
5.08315,2.50165,1.250825,,5.08315 1.250825 0
5.1072,2.49723,1.248615,,5.1072 1.248615 0
5.12022,2.49465,1.247325,,5.12022 1.247325 0
5.15003,2.48871,1.244355,,5.15003 1.244355 0
5.15157,2.48841,1.244205,,5.15157 1.244205 0
5.19096,2.47954,1.23977,,5.19096 1.23977 0
5.25462,2.46453,1.232265,,5.25462 1.232265 0
5.33843,2.44738,1.22369,,5.33843 1.22369 0
5.37051,2.44086,1.22043,,5.37051 1.22043 0
5.41801,2.43142,1.21571,,5.41801 1.21571 0
5.50865,2.41529,1.207645,,5.50865 1.207645 0
5.54222,2.40939,1.204695,,5.54222 1.204695 0
5.56533,2.40574,1.20287,,5.56533 1.20287 0
5.57598,2.40348,1.20174,,5.57598 1.20174 0
5.69897,2.37722,1.18861,,5.69897 1.18861 0
5.82339,2.36252,1.18126,,5.82339 1.18126 0
5.8487,2.36097,1.180485,,5.8487 1.180485 0
5.89091,2.35787,1.178935,,5.89091 1.178935 0
5.89714,2.35734,1.17867,,5.89714 1.17867 0
5.92849,2.35367,1.176835,,5.92849 1.176835 0
5.95863,2.34873,1.174365,,5.95863 1.174365 0
6.12178,2.33713,1.168565,,6.12178 1.168565 0
6.1883,2.33928,1.16964,,6.1883 1.16964 0
6.23477,2.3402,1.1701,,6.23477 1.1701 0
6.24912,2.33997,1.169985,,6.24912 1.169985 0
6.39017,2.33253,1.166265,,6.39017 1.166265 0
6.44429,2.33162,1.16581,,6.44429 1.16581 0
6.47508,2.33166,1.16583,,6.47508 1.16583 0
6.53536,2.33202,1.16601,,6.53536 1.16601 0
6.58401,2.33426,1.16713,,6.58401 1.16713 0
6.64922,2.33779,1.168895,,6.64922 1.168895 0
6.68727,2.34137,1.170685,,6.68727 1.170685 0
6.70002,2.34243,1.171215,,6.70002 1.171215 0
6.70888,2.34276,1.17138,,6.70888 1.17138 0
6.76698,2.34396,1.17198,,6.76698 1.17198 0
6.83073,2.3447,1.17235,,6.83073 1.17235 0
6.86414,2.3467,1.17335,,6.86414 1.17335 0
6.9267,2.35377,1.176885,,6.9267 1.176885 0
6.95333,2.35719,1.178595,,6.95333 1.178595 0
6.95353,2.35723,1.178615,,6.95353 1.178615 0
7.00373,2.36587,1.182935,,7.00373 1.182935 0
7.04138,2.37299,1.186495,,7.04138 1.186495 0
7.09163,2.38064,1.19032,,7.09163 1.19032 0
7.0945,2.3809,1.19045,,7.0945 1.19045 0
7.17579,2.38776,1.19388,,7.17579 1.19388 0
7.19385,2.38995,1.194975,,7.19385 1.194975 0
7.20654,2.39154,1.19577,,7.20654 1.19577 0
7.23415,2.39548,1.19774,,7.23415 1.19774 0
7.23486,2.39559,1.197795,,7.23486 1.197795 0
7.26987,2.40105,1.200525,,7.26987 1.200525 0
7.33106,2.41534,1.20767,,7.33106 1.20767 0
7.34921,2.41927,1.209635,,7.34921 1.209635 0
7.42018,2.43547,1.217735,,7.42018 1.217735 0
7.42019,2.43547,1.217735,,7.42019 1.217735 0
7.42067,2.43557,1.217785,,7.42067 1.217785 0
7.43067,2.43749,1.218745,,7.43067 1.218745 0
7.44793,2.4405,1.22025,,7.44793 1.22025 0
7.47541,2.44492,1.22246,,7.47541 1.22246 0
7.48196,2.44605,1.223025,,7.48196 1.223025 0
7.52346,2.45268,1.22634,,7.52346 1.22634 0
7.53198,2.45413,1.227065,,7.53198 1.227065 0
7.5425,2.45576,1.22788,,7.5425 1.22788 0
7.57805,2.46237,1.231185,,7.57805 1.231185 0
7.62107,2.47118,1.23559,,7.62107 1.23559 0
7.68355,2.48635,1.243175,,7.68355 1.243175 0
7.70467,2.49042,1.24521,,7.70467 1.24521 0
7.74495,2.49769,1.248845,,7.74495 1.248845 0
7.74839,2.4983,1.24915,,7.74839 1.24915 0
7.75357,2.4993,1.24965,,7.75357 1.24965 0
7.75372,2.49932,1.24966,,7.75372 1.24966 0
7.77294,2.50247,1.251235,,7.77294 1.251235 0
7.7917,2.50561,1.252805,,7.7917 1.252805 0
7.79374,2.50589,1.252945,,7.79374 1.252945 0
7.84698,2.51328,1.25664,,7.84698 1.25664 0
7.8654,2.51569,1.257845,,7.8654 1.257845 0
7.90562,2.51993,1.259965,,7.90562 1.259965 0
7.95832,2.52644,1.26322,,7.95832 1.26322 0
7.98793,2.52874,1.26437,,7.98793 1.26437 0
8.00849,2.5295,1.26475,,8.00849 1.26475 0
8.03881,2.52895,1.264475,,8.03881 1.264475 0
8.06731,2.52874,1.26437,,8.06731 1.26437 0
8.08568,2.52797,1.263985,,8.08568 1.263985 0
8.09351,2.52767,1.263835,,8.09351 1.263835 0
8.13298,2.52609,1.263045,,8.13298 1.263045 0
8.14437,2.52519,1.262595,,8.14437 1.262595 0
8.16563,2.52313,1.261565,,8.16563 1.261565 0
8.16878,2.52279,1.261395,,8.16878 1.261395 0
8.22053,2.51676,1.25838,,8.22053 1.25838 0
8.23236,2.51568,1.25784,,8.23236 1.25784 0
8.25262,2.51307,1.256535,,8.25262 1.256535 0
8.28238,2.50889,1.254445,,8.28238 1.254445 0
8.28248,2.50887,1.254435,,8.28248 1.254435 0
8.30772,2.50366,1.25183,,8.30772 1.25183 0
8.3729,2.49044,1.24522,,8.3729 1.24522 0
8.42379,2.4775,1.23875,,8.42379 1.23875 0
8.43583,2.4738,1.2369,,8.43583 1.2369 0
8.43836,2.47295,1.236475,,8.43836 1.236475 0
8.45189,2.46879,1.234395,,8.45189 1.234395 0
8.49478,2.45714,1.22857,,8.49478 1.22857 0
8.55226,2.4402,1.2201,,8.55226 1.2201 0
8.56236,2.43723,1.218615,,8.56236 1.218615 0
8.69183,2.39212,1.19606,,8.69183 1.19606 0
8.69574,2.3909,1.19545,,8.69574 1.19545 0
8.72871,2.37971,1.189855,,8.72871 1.189855 0
8.73809,2.37657,1.188285,,8.73809 1.188285 0
8.80556,2.3521,1.17605,,8.80556 1.17605 0
8.80598,2.35197,1.175985,,8.80598 1.175985 0
8.82051,2.34738,1.17369,,8.82051 1.17369 0
8.96431,2.30837,1.154185,,8.96431 1.154185 0
8.96458,2.30832,1.15416,,8.96458 1.15416 0
8.98632,2.3041,1.15205,,8.98632 1.15205 0
9.06568,2.28739,1.143695,,9.06568 1.143695 0
9.09532,2.28029,1.140145,,9.09532 1.140145 0
9.18044,2.25512,1.12756,,9.18044 1.12756 0
9.18772,2.25312,1.12656,,9.18772 1.12656 0
9.38889,2.21916,1.10958,,9.38889 1.10958 0
9.39487,2.21916,1.10958,,9.39487 1.10958 0
9.47389,2.21962,1.10981,,9.47389 1.10981 0
9.51929,2.21639,1.108195,,9.51929 1.108195 0
9.53437,2.21521,1.107605,,9.53437 1.107605 0
9.53572,2.21505,1.107525,,9.53572 1.107525 0
9.53792,2.21469,1.107345,,9.53792 1.107345 0
9.55909,2.21085,1.105425,,9.55909 1.105425 0
9.72613,2.19443,1.097215,,9.72613 1.097215 0
9.74323,2.19496,1.09748,,9.74323 1.09748 0
9.7833,2.19594,1.09797,,9.7833 1.09797 0
9.83117,2.19584,1.09792,,9.83117 1.09792 0
9.97863,2.19115,1.095575,,9.97863 1.095575 0
10.0057,2.19128,1.09564,,10.0057 1.09564 0
10.0093,2.19133,1.095665,,10.0093 1.095665 0
10.0385,2.19193,1.095965,,10.0385 1.095965 0
10.0386,2.19192,1.09596,,10.0386 1.09596 0
10.0698,2.1912,1.0956,,10.0698 1.0956 0
10.07,2.19119,1.095595,,10.07 1.095595 0
10.1145,2.19046,1.09523,,10.1145 1.09523 0
10.2127,2.1943,1.09715,,10.2127 1.09715 0
10.2127,2.1943,1.09715,,10.2127 1.09715 0
10.2145,2.1944,1.0972,,10.2145 1.0972 0
10.274,2.19562,1.09781,,10.274 1.09781 0
10.301,2.19599,1.097995,,10.301 1.097995 0
10.3026,2.19595,1.097975,,10.3026 1.097975 0
10.3483,2.1932,1.0966,,10.3483 1.0966 0
10.3506,2.1932,1.0966,,10.3506 1.0966 0
10.4304,2.19312,1.09656,,10.4304 1.09656 0
10.5049,2.19994,1.09997,,10.5049 1.09997 0
10.5077,2.2001,1.10005,,10.5077 1.10005 0
10.5703,2.20361,1.101805,,10.5703 1.101805 0
10.5733,2.20367,1.101835,,10.5733 1.101835 0
10.6294,2.20441,1.102205,,10.6294 1.102205 0
10.6347,2.20452,1.10226,,10.6347 1.10226 0
10.7121,2.20833,1.104165,,10.7121 1.104165 0
10.7184,2.20866,1.10433,,10.7184 1.10433 0
10.7837,2.21638,1.10819,,10.7837 1.10819 0
10.8172,2.20667,1.103335,,10.8172 1.103335 0
10.8578,2.19465,1.097325,,10.8578 1.097325 0
10.8641,2.19275,1.096375,,10.8641 1.096375 0
10.8815,2.18759,1.093795,,10.8815 1.093795 0
10.9106,2.17882,1.08941,,10.9106 1.08941 0
10.9148,2.17753,1.088765,,10.9148 1.088765 0
10.9401,2.16991,1.084955,,10.9401 1.084955 0
10.9474,2.16758,1.08379,,10.9474 1.08379 0
10.9826,2.15325,1.076625,,10.9826 1.076625 0
11.0013,2.14543,1.072715,,11.0013 1.072715 0
11.0243,2.13572,1.06786,,11.0243 1.06786 0
11.0336,2.13161,1.065805,,11.0336 1.065805 0
11.1051,2.09694,1.04847,,11.1051 1.04847 0
11.1378,2.08137,1.040685,,11.1378 1.040685 0
11.1563,2.07244,1.03622,,11.1563 1.03622 0
11.1671,2.06689,1.033445,,11.1671 1.033445 0
11.1723,2.06382,1.03191,,11.1723 1.03191 0
11.2119,2.04046,1.02023,,11.2119 1.02023 0
11.3046,1.991,0.9955,,11.3046 0.9955 0
11.3309,1.97897,0.989485,,11.3309 0.989485 0
11.3594,1.96652,0.98326,,11.3594 0.98326 0
11.4324,1.93229,0.966145,,11.4324 0.966145 0
11.4647,1.91478,0.95739,,11.4647 0.95739 0
11.5485,1.87254,0.93627,,11.5485 0.93627 0
11.6122,1.84237,0.921185,,11.6122 0.921185 0
11.6173,1.83996,0.91998,,11.6173 0.91998 0
11.6788,1.8135,0.90675,,11.6788 0.90675 0
11.6788,1.8135,0.90675,,11.6788 0.90675 0
11.6798,1.81315,0.906575,,11.6798 0.906575 0
11.7225,1.79682,0.89841,,11.7225 0.89841 0
