Distance,Diameter,Radius,,Text File Input
0,3.54014,1.77007,,0 1.77007 0
0.00100708,3.54093,1.770465,,0.00100708 1.770465 0
0.0035862,3.54261,1.771305,,0.0035862 1.771305 0
0.0608715,3.56299,1.781495,,0.0608715 1.781495 0
0.0633449,3.56237,1.781185,,0.0633449 1.781185 0
0.174516,3.53622,1.76811,,0.174516 1.76811 0
0.216611,3.52462,1.76231,,0.216611 1.76231 0
0.414571,3.47943,1.739715,,0.414571 1.739715 0
0.441131,3.47482,1.73741,,0.441131 1.73741 0
0.533572,3.46007,1.730035,,0.533572 1.730035 0
0.541557,3.45883,1.729415,,0.541557 1.729415 0
0.619334,3.44628,1.72314,,0.619334 1.72314 0
0.652023,3.44129,1.720645,,0.652023 1.720645 0
0.803663,3.42677,1.713385,,0.803663 1.713385 0
0.850691,3.4247,1.71235,,0.850691 1.71235 0
0.858921,3.42423,1.712115,,0.858921 1.712115 0
0.992869,3.41937,1.709685,,0.992869 1.709685 0
1.04083,3.4186,1.7093,,1.04083 1.7093 0
1.10072,3.41779,1.708895,,1.10072 1.708895 0
1.18492,3.4177,1.70885,,1.18492 1.70885 0
1.50879,3.43908,1.71954,,1.50879 1.71954 0
1.51621,3.44069,1.720345,,1.51621 1.720345 0
1.62137,3.46201,1.731005,,1.62137 1.731005 0
1.63241,3.46421,1.732105,,1.63241 1.732105 0
1.75972,3.49377,1.746885,,1.75972 1.746885 0
1.83317,3.51466,1.75733,,1.83317 1.75733 0
1.95351,3.55164,1.77582,,1.95351 1.77582 0
2.04076,3.57863,1.789315,,2.04076 1.789315 0
2.08333,3.59223,1.796115,,2.08333 1.796115 0
2.09443,3.59529,1.797645,,2.09443 1.797645 0
2.19625,3.62836,1.81418,,2.19625 1.81418 0
2.22119,3.63598,1.81799,,2.22119 1.81799 0
2.23323,3.63873,1.819365,,2.23323 1.819365 0
2.30071,3.65542,1.82771,,2.30071 1.82771 0
2.3271,3.66156,1.83078,,2.3271 1.83078 0
2.39718,3.67536,1.83768,,2.39718 1.83768 0
2.46856,3.68835,1.844175,,2.46856 1.844175 0
2.48886,3.69238,1.84619,,2.48886 1.84619 0
2.5541,3.7055,1.85275,,2.5541 1.85275 0
2.59832,3.71542,1.85771,,2.59832 1.85771 0
2.61915,3.71931,1.859655,,2.61915 1.859655 0
2.62991,3.72091,1.860455,,2.62991 1.860455 0
2.67268,3.72538,1.86269,,2.67268 1.86269 0
2.75954,3.72465,1.862325,,2.75954 1.862325 0
2.81643,3.72358,1.86179,,2.81643 1.86179 0
2.85529,3.7216,1.8608,,2.85529 1.8608 0
2.95211,3.71652,1.85826,,2.95211 1.85826 0
3.08948,3.71619,1.858095,,3.08948 1.858095 0
3.15525,3.71173,1.855865,,3.15525 1.855865 0
3.15814,3.71141,1.855705,,3.15814 1.855705 0
3.1871,3.70665,1.853325,,3.1871 1.853325 0
3.19975,3.70441,1.852205,,3.19975 1.852205 0
3.25939,3.69297,1.846485,,3.25939 1.846485 0
3.31375,3.68166,1.84083,,3.31375 1.84083 0
3.34586,3.67543,1.837715,,3.34586 1.837715 0
3.44098,3.65352,1.82676,,3.44098 1.82676 0
3.48167,3.64378,1.82189,,3.48167 1.82189 0
3.57539,3.62078,1.81039,,3.57539 1.81039 0
3.58179,3.61906,1.80953,,3.58179 1.80953 0
