Distance,Diameter,Radius,,Text File Input
4.57918,2.18231,1.091155,,4.57918 1.091155 0
4.58495,2.17976,1.08988,,4.58495 1.08988 0
4.68548,2.13881,1.069405,,4.68548 1.069405 0
4.77525,2.10993,1.054965,,4.77525 1.054965 0
4.77924,2.1085,1.05425,,4.77924 1.05425 0
4.87132,2.0764,1.0382,,4.87132 1.0382 0
4.89533,2.06863,1.034315,,4.89533 1.034315 0
4.92061,2.0617,1.03085,,4.92061 1.03085 0
5.01523,2.03229,1.016145,,5.01523 1.016145 0
5.12079,2.0067,1.00335,,5.12079 1.00335 0
5.12644,2.0054,1.0027,,5.12644 1.0027 0
5.15995,1.99667,0.998335,,5.15995 0.998335 0
5.26457,1.97589,0.987945,,5.26457 0.987945 0
5.30276,1.96863,0.984315,,5.30276 0.984315 0
5.38839,1.95274,0.97637,,5.38839 0.97637 0
5.38841,1.95273,0.976365,,5.38841 0.976365 0
5.38911,1.95262,0.97631,,5.38911 0.97631 0
5.45576,1.94051,0.970255,,5.45576 0.970255 0
5.4761,1.93692,0.96846,,5.4761 0.96846 0
5.5349,1.9262,0.9631,,5.5349 0.9631 0
5.55401,1.92277,0.961385,,5.55401 0.961385 0
5.6208,1.91084,0.95542,,5.6208 0.95542 0
5.62123,1.91076,0.95538,,5.62123 0.95538 0
5.70752,1.90054,0.95027,,5.70752 0.95027 0
5.7784,1.89335,0.946675,,5.7784 0.946675 0
5.82617,1.88979,0.944895,,5.82617 0.944895 0
5.82708,1.88967,0.944835,,5.82708 0.944835 0
5.85271,1.88505,0.942525,,5.85271 0.942525 0
5.92433,1.87349,0.936745,,5.92433 0.936745 0
5.9374,1.87135,0.935675,,5.9374 0.935675 0
6.06352,1.85864,0.92932,,6.06352 0.92932 0
6.07923,1.85708,0.92854,,6.07923 0.92854 0
6.11232,1.85244,0.92622,,6.11232 0.92622 0
6.17441,1.845,0.9225,,6.17441 0.9225 0
6.19743,1.84271,0.921355,,6.19743 0.921355 0
6.21206,1.84047,0.920235,,6.21206 0.920235 0
6.31011,1.82948,0.91474,,6.31011 0.91474 0
6.3191,1.82872,0.91436,,6.3191 0.91436 0
6.39597,1.8212,0.9106,,6.39597 0.9106 0
6.41346,1.82013,0.910065,,6.41346 0.910065 0
6.43297,1.81834,0.90917,,6.43297 0.90917 0
6.4791,1.81252,0.90626,,6.4791 0.90626 0
6.55455,1.80277,0.901385,,6.55455 0.901385 0
6.61662,1.79756,0.89878,,6.61662 0.89878 0
6.63006,1.79641,0.898205,,6.63006 0.898205 0
6.69821,1.78785,0.893925,,6.69821 0.893925 0
6.71498,1.78545,0.892725,,6.71498 0.892725 0
6.78062,1.77558,0.88779,,6.78062 0.88779 0
6.7869,1.77458,0.88729,,6.7869 0.88729 0
6.87321,1.76156,0.88078,,6.87321 0.88078 0
6.87325,1.76155,0.880775,,6.87325 0.880775 0
6.87656,1.76121,0.880605,,6.87656 0.880605 0
6.89311,1.75913,0.879565,,6.89311 0.879565 0
6.95329,1.75218,0.87609,,6.95329 0.87609 0
6.97544,1.74948,0.87474,,6.97544 0.87474 0
7.01951,1.74285,0.871425,,7.01951 0.871425 0
7.05326,1.73752,0.86876,,7.05326 0.86876 0
7.10664,1.72801,0.864005,,7.10664 0.864005 0
7.19248,1.71277,0.856385,,7.19248 0.856385 0
7.23229,1.70732,0.85366,,7.23229 0.85366 0
7.31097,1.70098,0.85049,,7.31097 0.85049 0
7.32606,1.69961,0.849805,,7.32606 0.849805 0
7.36277,1.69617,0.848085,,7.36277 0.848085 0
7.39437,1.69202,0.84601,,7.39437 0.84601 0
7.4088,1.68975,0.844875,,7.4088 0.844875 0
7.49213,1.67943,0.839715,,7.49213 0.839715 0
7.5498,1.6762,0.8381,,7.5498 0.8381 0
7.5665,1.67568,0.83784,,7.5665 0.83784 0
7.56996,1.6754,0.8377,,7.56996 0.8377 0
7.58709,1.67363,0.836815,,7.58709 0.836815 0
