Distance,Diameter,Radius,,text,,,FFR
2.75555,2.17289,1.086445,,2.75555 1.086445 0,,,
2.77126,2.17269,1.086345,,2.77126 1.086345 0,,,
2.78839,2.17208,1.08604,,2.78839 1.08604 0,,,
2.82208,2.17088,1.08544,,2.82208 1.08544 0,,,
2.83291,2.1702,1.0851,,2.83291 1.0851 0,,,
2.83867,2.16979,1.084895,,2.83867 1.084895 0,,,
2.89146,2.16687,1.083435,,2.89146 1.083435 0,,,
2.93572,2.16299,1.081495,,2.93572 1.081495 0,,,
2.93577,2.16299,1.081495,,2.93577 1.081495 0,,,
2.9397,2.1627,1.08135,,2.9397 1.08135 0,,,
2.9459,2.16169,1.080845,,2.9459 1.080845 0,,,
2.96936,2.15812,1.07906,,2.96936 1.07906 0,,,
2.98257,2.15582,1.07791,,2.98257 1.07791 0,,,
2.99503,2.15328,1.07664,,2.99503 1.07664 0,,,
3.01523,2.1487,1.07435,,3.01523 1.07435 0,,,
3.03936,2.14307,1.071535,,3.03936 1.071535 0,,,
3.0766,2.13076,1.06538,,3.0766 1.06538 0,,,
3.16452,2.10632,1.05316,,3.16452 1.05316 0,,,
3.22755,2.09378,1.04689,,3.22755 1.04689 0,,,
3.29115,2.08037,1.040185,,3.29115 1.040185 0,,,
3.34412,2.06687,1.033435,,3.34412 1.033435 0,,,
3.34773,2.066,1.033,,3.34773 1.033 0,,,
3.35287,2.06469,1.032345,,3.35287 1.032345 0,,,
3.35812,2.06322,1.03161,,3.35812 1.03161 0,,,
3.3722,2.05883,1.029415,,3.3722 1.029415 0,,,
3.44133,2.03652,1.01826,,3.44133 1.01826 0,,,
3.45296,2.03293,1.016465,,3.45296 1.016465 0,,,
3.46602,2.02848,1.01424,,3.46602 1.01424 0,,,
3.48343,2.02195,1.010975,,3.48343 1.010975 0,,,
3.55095,1.99795,0.998975,,3.55095 0.998975 0,,,
3.5823,1.98831,0.994155,,3.5823 0.994155 0,,,
3.59348,1.98468,0.99234,,3.59348 0.99234 0,,,
